source_file,filer_ein,filer_organization_name,tax_period_begin,tax_period_end,formation_year,foundation_address_line1,foundation_address_line2,foundation_city,foundation_state,foundation_zip,foundation_phone,foundation_website,legal_domicile_state,total_assets_boy,total_assets_eoy,total_liabilities_eoy,net_assets_eoy,fair_market_value_eoy,total_revenue,total_expenses,investment_income,distributable_amount,total_distributions,undistributed_income,is_private_operating_foundation,is_501c3,mission_description
202403559349100000_public.xml,391890044,PAUL & RUTH SCHULTZ FDN AGY,2023-09-01,2024-08-31,,PO BOX 95672,,CHICAGO,IL,606945672,6142211000,,,5131701,5288494,0,,6483102,,,,,272282,,false,,
202403559349100005_public.xml,823234701,CLASS OF 82 INC,2023-01-01,2023-12-31,,830 NW 115TH AVE,,PLANTATION,FL,33325,5614830334,,,2865,187,0,,187,,,,,5644,,false,,
202403559349100010_public.xml,542118821,MARY GALE APARTMENTS INC,2023-10-01,2024-09-30,,198 HANOVER STREET,,MANCHESTER,NH,03104,6033693812,,,2459,2452,32791,,0,,,,,0,,0,,
202403559349100015_public.xml,841269589,BACON FAMILY FOUNDATION,2023-07-01,2024-06-30,,PO BOX 4570,,GRAND JUNCTION,CO,81502,9702431921,,,1169156,693213,0,,747872,,,,,774465,,0,,
202403559349100100_public.xml,776244471,RICHARD BEHRENS EATON TUW 71270600,2023-10-01,2024-09-30,,PO BOX 1220,,PALO CEDRO,CA,96073,5732434343,,,4032944,3991958,0,,5892105,,,,,209732,,0,,
202403559349100105_public.xml,223382542,THE CARMEN AND JOE UNANUE FAMILY,2023-07-01,2024-06-30,,1 N CLEMATIS STREET FIFTH FLOOR,,WEST PALM BEACH,FL,33401,7325492800,,,15613749,14809949,595537,,20693859,,,,,980560,,0,,
202403559349100110_public.xml,650907241,Woerner World Ministries Inc,2023-07-01,2024-06-30,,275 SW 3RD AVENUE,,SOUTH BAY,FL,33493,5616881600,,,1164996,1124788,3125,,1124788,,,,,373742,,false,,
202403559349100200_public.xml,851289496,AUTISM RESIDENTIAL COMMUNITY,2023-01-01,2023-12-31,,2083 MANDELAY PLACE,,SAN JOSE,CA,95138,,,,3209,3160,0,,3160,,,,,0,,false,,
202403559349100205_public.xml,814816668,ORTHROS FOUNDATION INC,2023-01-01,2023-12-31,,1384 HOSFORD ST,,HUDSON,WI,54016,7158342001,,,21424,0,0,,0,,,,,21450,,false,,
202403559349100210_public.xml,852856219,KRAMLICH ART FOUNDATION,2021-01-01,2021-12-31,,PO BOX 361,,OAKVILLE,CA,94562,7075444078,,,0,43846,0,,43846,,,,,492055,,1,,
202403559349100215_public.xml,846653939,HERMAN EMIL & VALERIE WAWRZYNIAK ROLFS,2023-01-01,2023-12-31,,921 NORTH PALAFOX STREET,,PENSACOLA,FL,32501,8507856808,,,2022691,1637489,0,,1722221,,,,,3102285,,0,,
202403559349100300_public.xml,934102739,HEALTH WELLNESS COMMUNITY INC,2023-01-01,2023-12-31,,20930 HYDE RD,,SONOMA,CA,95476,,,,0,1847,0,,1847,,,,,2597,,false,,
202403559349100305_public.xml,263194208,HUMMER TUTTLE FOUNDATION,2024-01-01,2024-02-21,,9701 WILSHIRE BLVD 1100,,BEVERLY HILLS,CA,90212,5203214600,,,123,0,0,,0,,,,,5663,,0,,
202403559349100310_public.xml,046038998,TRUSTEE U W OF ALMON B COOK,2023-11-01,2024-10-31,,PO BOX 653067,,DALLAS,TX,752653067,,,,53417,10272,0,,13246,,,,,56963,,false,,
202403559349100315_public.xml,396330717,GEORGE & ANNA DITTMER TRUST XXXXX6003,2023-03-01,2024-02-29,,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,202798,191502,0,,255604,,,,,11881,,false,,
202403559349100400_public.xml,203480919,BYRON H AND LAKESHA M KNIGHT FAMILY FOUNDATION,2023-01-01,2023-12-31,,1660 E MCKENZIE ST,,LONG BEACH,CA,908052548,,,,19094,19803,0,,19803,,,,,0,,false,,
202403559349100405_public.xml,232264151,POLISH INSTITUTE OF AMERICA,2021-12-01,2022-11-30,,PO BOX 396,,POTTSTOWN,PA,19464,2022274000,,,298389,298403,0,,298403,,,,,1062,,0,,
202403559349100410_public.xml,876352962,SMILE DESIGN FOUNDATION,2022-01-01,2022-12-31,,8380 WARREN PKWY BLDG 7-703,,FRISCO,TX,75034,2108964944,,,1940504,1940504,0,,1940604,,,,,,,false,,
202403559349100415_public.xml,371316048,ORLELE MOORE SCHOLARSHIP FOUNDATION,2023-07-01,2024-06-30,,500 FIRST AVE P7-PFSC-03-Z,,PITTSBURGH,PA,15219,3302555814,,,269688,259257,0,,285155,,,,,12593,,false,,
202403559349100420_public.xml,866214733,LONA ATKINSON CHARITABLE TRUST XXXXX0000,2023-04-01,2024-03-31,,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,254591,239422,0,,326270,,,,,14682,,false,,
202403559349100425_public.xml,372103809,S&S FOUNDATION,2023-01-01,2023-12-31,,47 VIEW ST,,LOS ALTOS,CA,94022,4088349995,,,,0,0,,0,,,,,,,false,,
202403559349100500_public.xml,137273247,JEFFREY AND JAMIE HARRIS FAMILY FOUNDATION TRUST,2023-12-01,2024-11-30,,400 W 12TH ST APT 9C,,NEW YORK,NY,100141861,,,,17522409,23087586,0,,92440855,,,,,5655783,,false,,
202403559349100505_public.xml,431698299,RANDALL NOPER CHAR TR,2023-01-01,2023-12-31,,C/O ARGENT INST TR 115 S 84 ST 325,,MILWAUKEE,WI,53214,3128792000,,,770266,745953,0,,794243,,,,,41075,,false,,
202403559349100600_public.xml,861191371,Charles and Cosette Andrews Foundation,2023-08-01,2024-07-31,,3614 Matney Avenue,,Kansas City,KS,66106,,,,347,363,0,,363,,,,,2106,,true,,
202403559349100605_public.xml,133617083,HOLTZ FAMILY FOUNDATION INC,2023-01-01,2023-12-31,,15938 RAIN LILLY WAY,,CITY OF WESTLAKE,FL,33470,5162563500,,,40516,25537,0,,25537,,,,,36263,,0,,
202403559349100610_public.xml,841441054,THE LITTLESTAR FOUNDATION,2023-11-01,2024-10-31,,4421 VAIL DIVIDE,,AUSTIN,TX,78738,7195310445,,,950322,1189339,0,,1189339,,,,,88400,,0,,
202403559349100615_public.xml,066246639,ARLINE J SMITH SCHOLARSHIP FUND XXXXX0000,2023-09-01,2024-08-31,,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,433861,412656,0,,687828,,,,,31530,,false,,
202403559349100700_public.xml,851800171,Mentoring America Corp,2023-08-01,2024-07-31,,618 SE OCEAN BLVD STE 5,,Stuart,FL,34994,,,,5320,19667,2068,,19667,,,,,0,,false,,
202403559349100705_public.xml,842381689,Ted Lucas Foundation Corporation,2023-01-01,2023-12-31,,919 4th St,,Miami Beach,FL,33139,3524433532,,,960,507,0,,507,,,,,0,,0,,
202403559349100710_public.xml,472516811,Tandigm Scholars,2021-01-01,2021-12-31,,300 Four Falls Corporate Center,,West Conshohocken,PA,19428,2024141000,,,742709,802709,0,,802709,,,,,0,,false,,
202403559349100715_public.xml,166015621,CHARLES DOWD TRUST XXXXX0009,2023-09-01,2024-08-31,,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,137041,135102,0,,219455,,,,,8380,,false,,
202403559349100800_public.xml,026013012,PARKER NELSON FOUNDATION,2023-10-01,2024-09-30,,ONE CITIZENS BANK WAY JCB115,,JOHNSTON,RI,02919,4012282600,,,653884,635984,0,,742692,,,,,37607,,false,,
202403559349100805_public.xml,810903434,Mike Giannini FFA Scholarship Fndn,2023-01-01,2023-12-31,,POB 430,,Moss Beach,CA,94038,2082987271,,,42338,38583,0,,38583,,,,,,,true,,
202403559349100810_public.xml,416524601,RELSTONE CHARITABLE TRUST,2023-01-01,2023-12-31,,PO BOX 18971,,Fairfield,OH,45018,5139391666,,,9380,6419,0,,6847,,,,,4992,,false,,
202403559349100900_public.xml,366872997,DR L G & WINIFRED T WISNER SCHOLARSHIP,2023-05-01,2024-04-30,,500 FIRST AVE P7-PFSC-03-Z,,PITTSBURGH,PA,15219,3302555814,,,220662,215940,0,,233209,,,,,12754,,false,,
202403559349100905_public.xml,166304252,JAMES P O'CONNOR CHARITABLE TRUST B XXXXX6003,2023-09-01,2024-08-31,,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,608893,592942,0,,978771,,,,,39916,,false,,
202403559349101000_public.xml,756322850,THE DORA LEE LANGDON NTSU JAZZ SINGERS,2023-09-01,2024-08-31,,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,185291,179576,0,,296634,,,,,13754,,false,,
