foundation_id,ein,organization_name,tax_period_begin,tax_period_end,address_line1,address_line2,city,state,zip,phone,website,formation_year,legal_domicile_state,total_assets_boy,total_assets_eoy,total_liabilities_eoy,net_assets_eoy,fair_market_value_eoy,total_revenue,total_expenses,investment_income,distributable_amount,total_distributions,undistributed_income,is_private_operating_foundation,is_501c3,mission_description,leader_ids,source_file
2d078947-1559-45eb-8da5-d410db663b5a,391890044,PAUL & RUTH SCHULTZ FDN AGY,2023-09-01,2024-08-31,PO BOX 95672,,CHICAGO,IL,606945672,6142211000,,,,5131701,5288494,0,,6483102,,,,,272282,,false,,,"[""d42fb0a9-5a71-4d87-8c5a-6ed4a734d696"", ""5eb21992-77a8-493a-89b1-a4dbfe1d670e"", ""54cb7a39-38d8-4d4c-80a0-fc1a87899481"", ""358e51a2-6731-426c-af27-c271bc2107ce""]",202403559349100000_public.xml
7fb9f691-949b-4ed8-ae6d-74f46186c988,823234701,CLASS OF 82 INC,2023-01-01,2023-12-31,830 NW 115TH AVE,,PLANTATION,FL,33325,5614830334,,,,2865,187,0,,187,,,,,5644,,false,,,"[""08e4f512-ce43-4980-a4f7-9487cf941ed7""]",202403559349100005_public.xml
de07eaf9-e61e-419d-a3b8-1d994a217a7d,542118821,MARY GALE APARTMENTS INC,2023-10-01,2024-09-30,198 HANOVER STREET,,MANCHESTER,NH,03104,6033693812,,,,2459,2452,32791,,0,,,,,0,,0,,,"[""a9d1f78f-98e1-4099-859f-080138d8af8d"", ""37c69e76-0886-4c0f-9b24-0a3fa9265710"", ""80e28851-b0e5-4dfb-8b0f-4d890e21c785"", ""3eab2647-c25c-485d-8f86-81cc219a20a8"", ""f8793e4e-9ac3-455b-b2c7-77f98e434538"", ""e793e044-498e-4daa-ab51-bfbaf5072fb8""]",202403559349100010_public.xml
ee89c692-6d2d-4a7e-bc36-1b627b1c0053,841269589,BACON FAMILY FOUNDATION,2023-07-01,2024-06-30,PO BOX 4570,,GRAND JUNCTION,CO,81502,9702431921,,,,1169156,693213,0,,747872,,,,,774465,,0,,,"[""96349057-a899-4102-b741-b9ecb7aedbe9"", ""0d6d852a-c433-410e-9541-a3dc2a101a05"", ""eb632c94-c3d0-4008-be45-9935c2bfae00"", ""ce6edd03-2e8e-4f0c-a881-35a385147503"", ""2e7db8b8-f531-460d-b9e3-0a2a606d1d23"", ""c0e061c2-1910-4b4c-a069-5e4a83449c3f""]",202403559349100015_public.xml
1627d83f-2845-405d-8b6d-51e2f3808d1c,776244471,RICHARD BEHRENS EATON TUW 71270600,2023-10-01,2024-09-30,PO BOX 1220,,PALO CEDRO,CA,96073,5732434343,,,,4032944,3991958,0,,5892105,,,,,209732,,0,,,"[""5f4def70-ba86-4e0a-9789-9d34131ef6a1""]",202403559349100100_public.xml
02642529-debf-4771-ada9-955c22644aa8,223382542,THE CARMEN AND JOE UNANUE FAMILY,2023-07-01,2024-06-30,1 N CLEMATIS STREET FIFTH FLOOR,,WEST PALM BEACH,FL,33401,7325492800,,,,15613749,14809949,595537,,20693859,,,,,980560,,0,,,"[""59d6d258-45c9-48d0-9038-8bb3d9f7a053"", ""3d5a878a-a7e3-4863-8b68-be2ffa273baf"", ""d4897893-0db1-487d-b222-b5e34390c84b""]",202403559349100105_public.xml
f1e56980-8b6e-4145-bc7c-68503923d086,650907241,Woerner World Ministries Inc,2023-07-01,2024-06-30,275 SW 3RD AVENUE,,SOUTH BAY,FL,33493,5616881600,,,,1164996,1124788,3125,,1124788,,,,,373742,,false,,,"[""70e7af61-f309-453a-815a-d0d4e1e382e8"", ""1ab90012-7760-41a6-8efb-2f8edebd2e8f"", ""dda573c5-90d9-4583-94e0-17d035875b62"", ""fbe04653-5a8f-4097-81cd-f7cf95c5d9a6"", ""dedcd413-cfb7-4ff8-b630-0404c83a9ec8""]",202403559349100110_public.xml
c911f3c3-e2d8-4099-9744-4d0a56a567ec,851289496,AUTISM RESIDENTIAL COMMUNITY,2023-01-01,2023-12-31,2083 MANDELAY PLACE,,SAN JOSE,CA,95138,,,,,3209,3160,0,,3160,,,,,0,,false,,,"[""21d16325-bd65-4c0f-8360-da1556893773""]",202403559349100200_public.xml
59587b11-01b6-43b8-b659-b7ffd8a20ec7,814816668,ORTHROS FOUNDATION INC,2023-01-01,2023-12-31,1384 HOSFORD ST,,HUDSON,WI,54016,7158342001,,,,21424,0,0,,0,,,,,21450,,false,,,"[""3a6cbb9c-fed0-4936-9d27-f69bd1f8b022"", ""715f95cc-3c06-4121-bc16-edae74142095"", ""7996354b-b13f-4d4b-9a41-d7236eb553e5"", ""790311c2-7f0b-4236-94c3-3a2d4449ac47""]",202403559349100205_public.xml
536e308f-a1c4-46ee-8aed-48f708f3f496,852856219,KRAMLICH ART FOUNDATION,2021-01-01,2021-12-31,PO BOX 361,,OAKVILLE,CA,94562,7075444078,,,,0,43846,0,,43846,,,,,492055,,1,,,"[""28401e34-e9fe-4dc4-aae3-211ef5c74720"", ""8dc158d9-c4cc-4b65-956c-8f8b1b024edb"", ""492a0462-9e0f-4ecf-9107-68e510a536c9"", ""8e54e916-6e96-438e-9e94-2d81f2a1ee22"", ""34dd9441-1101-47b0-9943-ecedfa6b3760"", ""01a37e59-22c8-4ba6-a6ce-538a0e4465b0"", ""b6b176f2-9f89-4c9e-9103-52ad7b44c8e3""]",202403559349100210_public.xml
193d5df5-9ece-4623-9ab9-f9bd52968566,846653939,HERMAN EMIL & VALERIE WAWRZYNIAK ROLFS,2023-01-01,2023-12-31,921 NORTH PALAFOX STREET,,PENSACOLA,FL,32501,8507856808,,,,2022691,1637489,0,,1722221,,,,,3102285,,0,,,"[""ab9d29fe-789e-4736-a84c-9fb3fe10931a""]",202403559349100215_public.xml
38537e95-947a-453d-b61e-3b4b87da8a83,934102739,HEALTH WELLNESS COMMUNITY INC,2023-01-01,2023-12-31,20930 HYDE RD,,SONOMA,CA,95476,,,,,0,1847,0,,1847,,,,,2597,,false,,,"[""4bd04ebe-2efd-40c4-a6e1-6d8df8934425"", ""e9acbf17-85fc-455e-86d9-dc00c2aa464d"", ""91078c8d-7331-4ba9-a5a9-321bd9c238fd"", ""f144d962-4462-4c39-877e-89c4659c3134""]",202403559349100300_public.xml
9201e51a-b1fb-43c4-8ea5-c7e94b224bca,263194208,HUMMER TUTTLE FOUNDATION,2024-01-01,2024-02-21,9701 WILSHIRE BLVD 1100,,BEVERLY HILLS,CA,90212,5203214600,,,,123,0,0,,0,,,,,5663,,0,,,"[""27efe878-c15d-4811-9a4f-247025097eb2"", ""215392c4-6aac-48d7-a1e5-ca3c45e72b33""]",202403559349100305_public.xml
75bcdd56-058f-4205-abc0-fd7cb13ad1be,046038998,TRUSTEE U W OF ALMON B COOK,2023-11-01,2024-10-31,PO BOX 653067,,DALLAS,TX,752653067,,,,,53417,10272,0,,13246,,,,,56963,,false,,,"[""311b5853-2b4d-4138-82ad-7260e96afc63"", ""2cf3417a-8d6a-4c07-9d5d-40baab3bac9c""]",202403559349100310_public.xml
44f74118-e4f2-4ef9-b46d-59bdaaf5e0ec,396330717,GEORGE & ANNA DITTMER TRUST XXXXX6003,2023-03-01,2024-02-29,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,,202798,191502,0,,255604,,,,,11881,,false,,,"[""1d9af936-425f-43f1-8c25-1cf526f83eac""]",202403559349100315_public.xml
c4ef46ca-adf5-4dbf-83fe-ae6939218c55,203480919,BYRON H AND LAKESHA M KNIGHT FAMILY FOUNDATION,2023-01-01,2023-12-31,1660 E MCKENZIE ST,,LONG BEACH,CA,908052548,,,,,19094,19803,0,,19803,,,,,0,,false,,,"[""d1cfea12-e730-45b3-b50f-64e20f74618d"", ""5778e690-3570-4bc7-9485-27c1ec21b637""]",202403559349100400_public.xml
d312f445-1e44-4d1a-be7f-47abacfe6ebc,232264151,POLISH INSTITUTE OF AMERICA,2021-12-01,2022-11-30,PO BOX 396,,POTTSTOWN,PA,19464,2022274000,,,,298389,298403,0,,298403,,,,,1062,,0,,,"[""af7295c0-19d9-49c1-a3e9-7bbe33f8351f"", ""0d0b4e2a-cef7-4503-b494-0354e8279eff"", ""a32ddcd4-b86a-46f4-bcea-9fda63500430"", ""32fc4f21-dc7f-4929-a3be-e37f71c35500"", ""2a44f24b-8c1b-45a9-8d89-5e4ffb811a4a"", ""5292b16b-d8ce-465b-aaf1-5329c5cdf5f4""]",202403559349100405_public.xml
2a3fb34f-112a-449a-88b9-959f10b39ebe,876352962,SMILE DESIGN FOUNDATION,2022-01-01,2022-12-31,8380 WARREN PKWY BLDG 7-703,,FRISCO,TX,75034,2108964944,,,,1940504,1940504,0,,1940604,,,,,,,false,,,"[""125f57fa-e64e-47d2-8ba3-ae5fb1f834ab""]",202403559349100410_public.xml
97f84d3a-1dde-444b-8112-060e778e1c00,371316048,ORLELE MOORE SCHOLARSHIP FOUNDATION,2023-07-01,2024-06-30,500 FIRST AVE P7-PFSC-03-Z,,PITTSBURGH,PA,15219,3302555814,,,,269688,259257,0,,285155,,,,,12593,,false,,,"[""9461296f-7948-437e-840a-252735849d00""]",202403559349100415_public.xml
9dd50dfa-8912-4787-8adb-39499390fa9f,866214733,LONA ATKINSON CHARITABLE TRUST XXXXX0000,2023-04-01,2024-03-31,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,,254591,239422,0,,326270,,,,,14682,,false,,,"[""b663efab-d5ae-4d74-a98a-bcf5d11a94c9""]",202403559349100420_public.xml
