source_file,foundation_ein,person_name,title,compensation,benefits,other_compensation,hours_per_week,is_officer,is_director,is_trustee,is_key_employee
202403559349100000_public.xml,391890044,KARLA KIEFFER,PRESIDENT,0,,,1,,,,
202403559349100000_public.xml,391890044,KEVIN KIEFFER,VICE PRESIDENT,0,,,1,,,,
202403559349100000_public.xml,391890044,KEVIN KIEFFER,TREASURER,0,,,1,,,,
202403559349100000_public.xml,391890044,MELISSA KAMPMANN,SECRETARY,0,,,1,,,,
202403559349100005_public.xml,823234701,MARC HENRI JEAN BAPTISTE,PRES,0,,,001.00,,,,
202403559349100010_public.xml,542118821,CATHERINE NACZAS,SECRETARY,0,0,0,0.02,,,,
202403559349100010_public.xml,542118821,MIKE LOPEZ,TRUSTEE,0,0,0,0.02,,,,
202403559349100010_public.xml,542118821,JARED LANDRY,TRUSTEE,0,0,0,0.02,,,,
202403559349100010_public.xml,542118821,ANDREW PAPANICOLAU,TRUSTEE,0,0,0,0.02,,,,
202403559349100010_public.xml,542118821,DAVID H QUINN,PRESIDENT,0,0,0,0.02,,,,
202403559349100010_public.xml,542118821,STEPHEN DUFFLEY,VICE PRESIDENT,0,0,0,0.02,,,,
202403559349100015_public.xml,841269589,STEPHEN BACON,PRESIDENT,0,0,0,2.00,,,,
202403559349100015_public.xml,841269589,ANDREW BACON,VICE PRESIDENT,0,0,0,2.00,,,,
202403559349100015_public.xml,841269589,LINDA BACON REID,SECRETARY/TREASURER,15000,0,0,20.00,,,,
202403559349100015_public.xml,841269589,AMY BACON HILL,DIRECTOR,0,0,0,2.00,,,,
202403559349100015_public.xml,841269589,HERBERT BACON,DIRECTOR,0,0,0,2.00,,,,
202403559349100015_public.xml,841269589,LAURA MAY BACON,DIRECTOR,0,0,0,2.00,,,,
202403559349100100_public.xml,776244471,JOHN GRIMES,TRUSTEE,54904,0,0,8.00,,,,
202403559349100105_public.xml,223382542,ANDREW UNANUE,PRESIDENT/TREASURER,0,0,0,0.33,,,,
202403559349100105_public.xml,223382542,MARIE UNANUE,SECRETARY,0,0,0,0.33,,,,
202403559349100105_public.xml,223382542,MICHELLE MALLOY,ASST. SECRETARY,0,0,0,0.33,,,,
202403559349100110_public.xml,650907241,LESTER J WOERNER,CHAIRMAN and PRESIDENT,0,0,0,2.0,,,,
202403559349100110_public.xml,650907241,KATHY SCHAFER,Secretary,0,0,0,2.0,,,,
